6,target_close_all_attributes,260,LR,r2,"[-1.99531743e+01  9.61909496e+00  1.79995783e+01  3.26794611e+01
  2.47006409e-02  4.33078489e+00 -1.43901701e+00  5.09221423e-02
 -7.16593782e-01 -1.21921071e+00  1.16307655e+00 -1.37704628e+00
  1.56622217e+00  7.79568314e-01  4.94620404e-02  8.67720895e+00
  5.18800927e+00 -1.50880728e-01 -1.35790316e+00 -6.56414937e+00
 -6.92862198e+00 -1.37304322e+01  1.64861528e+01  1.64861528e+01
 -1.49134591e+01  2.25297503e-02  1.55063763e-02 -5.05583792e-02
 -1.72325832e-02  3.06169335e-02 -1.16515331e-02 -2.67416403e-02
 -2.51810363e-02 -1.14631233e-02 -3.15718381e-02  9.37372233e-03
  5.83662716e-02  4.05956447e-02 -4.06955468e-02  1.46751593e-02
  1.72566257e-03  1.76899776e-02]"
7,target_close_all_attributes,260,Lasso,r2,"[ 3.50397817e+01  1.14620653e+01  1.07669522e+00  1.12815225e+01
  2.07493292e-02 -1.68220629e+01  2.18160922e+00  2.76637415e+00
  1.14810312e-01 -2.64182468e+00  2.09076528e+00  1.24973873e+00
  1.59417116e+00  1.45612584e+00  1.98688632e-01 -4.80471997e-01
 -4.79486207e+00 -6.81437559e-01  5.97148941e-01  2.70777397e+00
 -7.64695028e-01  9.35132188e-01 -2.89867794e-01 -8.74077383e-16
  1.67416721e-01  6.88324075e-02 -0.00000000e+00 -6.00484546e-02
 -2.14673138e-02  1.62412226e-02 -9.07059470e-03  2.01650924e-04
 -1.68353891e-02 -2.63297701e-02 -3.32047235e-03  1.89028749e-02
  7.06601795e-02  5.91268404e-02 -5.47647881e-02  3.13479256e-02
 -5.87350018e-05  3.50169462e-02]"
8,target_close_all_attributes,260,Ridge,r2,"[-1.99437309e+01  9.61538570e+00  1.79965509e+01  3.26453396e+01
  2.46634946e-02  4.30389769e+00 -1.45283383e+00  4.33586926e-02
 -7.17506973e-01 -1.22304520e+00  1.16960187e+00 -1.37272345e+00
  1.55331662e+00  7.86310716e-01  4.94468930e-02  8.65976913e+00
  5.17216026e+00 -1.50688626e-01 -1.33305942e+00 -6.32563832e+00
 -6.74498859e+00 -1.34448400e+01  1.60839126e+01  1.60839126e+01
 -1.47070289e+01  2.25476316e-02  1.54949834e-02 -5.05714436e-02
 -1.72369774e-02  3.06285575e-02 -1.16356011e-02 -2.67272515e-02
 -2.51615802e-02 -1.14656025e-02 -3.15443097e-02  9.32703970e-03
  5.83438688e-02  4.05428122e-02 -4.07523036e-02  1.46847854e-02
  1.78843073e-03  1.77283522e-02]"
9,target_close_all_attributes,260,RandomForest,r2,"[2.07885811e-02 2.54282172e-02 2.44954890e-02 3.41155530e-01
 4.28428171e-05 2.26919684e-03 1.83204545e-02 1.77403939e-02
 1.91353873e-01 6.94220212e-02 6.60600929e-05 5.39071335e-05
 1.73136736e-04 1.18691447e-04 3.66941313e-05 2.23297327e-03
 5.27390203e-02 6.87858332e-05 3.69438501e-05 5.37565351e-02
 5.38009726e-02 2.41347330e-04 5.34480747e-02 1.77118216e-02
 5.44465465e-02 3.26240049e-06 1.96049691e-06 4.07831198e-06
 4.78408198e-06 4.34286387e-06 1.23679434e-06 6.60215824e-07
 1.40252949e-06 1.18723454e-06 4.17654946e-06 6.04481018e-06
 3.48806193e-06 5.69936753e-07 1.61475602e-06 1.74720521e-06
 7.36870352e-06 3.96562747e-06]"
10,target_close_all_attributes,260,XGB,r2,"[3.15589458e-02 1.64389849e-01 5.07084355e-02 6.73618019e-02
 7.92560604e-06 1.70814584e-03 6.79926743e-05 9.10947041e-04
 2.96360552e-01 2.93944206e-04 2.54510578e-05 3.81066602e-05
 5.60820103e-04 1.28189728e-04 1.75687674e-05 7.22424546e-03
 9.00453329e-03 1.89939747e-05 1.17949057e-05 3.68749231e-01
 4.18009004e-04 1.38295845e-05 2.31946706e-05 0.00000000e+00
 2.12219224e-04 5.18855404e-06 1.05537792e-05 1.91141753e-05
 7.17275725e-06 5.12122824e-06 1.14752520e-05 3.10135965e-06
 1.01064934e-05 2.05233537e-05 1.23842265e-05 9.23567995e-07
 1.32171306e-06 2.39546553e-05 2.19131380e-05 7.05053253e-06
 4.54941301e-06 2.08523961e-05]"
11,target_close_all_attributes,260,SVR,r2,"[3.15589458e-02 1.64389849e-01 5.07084355e-02 6.73618019e-02
 7.92560604e-06 1.70814584e-03 6.79926743e-05 9.10947041e-04
 2.96360552e-01 2.93944206e-04 2.54510578e-05 3.81066602e-05
 5.60820103e-04 1.28189728e-04 1.75687674e-05 7.22424546e-03
 9.00453329e-03 1.89939747e-05 1.17949057e-05 3.68749231e-01
 4.18009004e-04 1.38295845e-05 2.31946706e-05 0.00000000e+00
 2.12219224e-04 5.18855404e-06 1.05537792e-05 1.91141753e-05
 7.17275725e-06 5.12122824e-06 1.14752520e-05 3.10135965e-06
 1.01064934e-05 2.05233537e-05 1.23842265e-05 9.23567995e-07
 1.32171306e-06 2.39546553e-05 2.19131380e-05 7.05053253e-06
 4.54941301e-06 2.08523961e-05]"
12,target_close_all_attributes,260,LR,neg_mean_absolute_error,"[-1.99531743e+01  9.61909496e+00  1.79995783e+01  3.26794611e+01
  2.47006409e-02  4.33078489e+00 -1.43901701e+00  5.09221423e-02
 -7.16593782e-01 -1.21921071e+00  1.16307655e+00 -1.37704628e+00
  1.56622217e+00  7.79568314e-01  4.94620404e-02  8.67720895e+00
  5.18800927e+00 -1.50880728e-01 -1.35790316e+00 -6.56414937e+00
 -6.92862198e+00 -1.37304322e+01  1.64861528e+01  1.64861528e+01
 -1.49134591e+01  2.25297503e-02  1.55063763e-02 -5.05583792e-02
 -1.72325832e-02  3.06169335e-02 -1.16515331e-02 -2.67416403e-02
 -2.51810363e-02 -1.14631233e-02 -3.15718381e-02  9.37372233e-03
  5.83662716e-02  4.05956447e-02 -4.06955468e-02  1.46751593e-02
  1.72566257e-03  1.76899776e-02]"
13,target_close_all_attributes,260,Lasso,neg_mean_absolute_error,"[ 3.50397817e+01  1.14620653e+01  1.07669522e+00  1.12815225e+01
  2.07493292e-02 -1.68220629e+01  2.18160922e+00  2.76637415e+00
  1.14810312e-01 -2.64182468e+00  2.09076528e+00  1.24973873e+00
  1.59417116e+00  1.45612584e+00  1.98688632e-01 -4.80471997e-01
 -4.79486207e+00 -6.81437559e-01  5.97148941e-01  2.70777397e+00
 -7.64695028e-01  9.35132188e-01 -2.89867794e-01 -8.74077383e-16
  1.67416721e-01  6.88324075e-02 -0.00000000e+00 -6.00484546e-02
 -2.14673138e-02  1.62412226e-02 -9.07059470e-03  2.01650924e-04
 -1.68353891e-02 -2.63297701e-02 -3.32047235e-03  1.89028749e-02
  7.06601795e-02  5.91268404e-02 -5.47647881e-02  3.13479256e-02
 -5.87350018e-05  3.50169462e-02]"
14,target_close_all_attributes,260,Ridge,neg_mean_absolute_error,"[-1.99437309e+01  9.61538570e+00  1.79965509e+01  3.26453396e+01
  2.46634946e-02  4.30389769e+00 -1.45283383e+00  4.33586926e-02
 -7.17506973e-01 -1.22304520e+00  1.16960187e+00 -1.37272345e+00
  1.55331662e+00  7.86310716e-01  4.94468930e-02  8.65976913e+00
  5.17216026e+00 -1.50688626e-01 -1.33305942e+00 -6.32563832e+00
 -6.74498859e+00 -1.34448400e+01  1.60839126e+01  1.60839126e+01
 -1.47070289e+01  2.25476316e-02  1.54949834e-02 -5.05714436e-02
 -1.72369774e-02  3.06285575e-02 -1.16356011e-02 -2.67272515e-02
 -2.51615802e-02 -1.14656025e-02 -3.15443097e-02  9.32703970e-03
  5.83438688e-02  4.05428122e-02 -4.07523036e-02  1.46847854e-02
  1.78843073e-03  1.77283522e-02]"
15,target_close_all_attributes,260,RandomForest,neg_mean_absolute_error,"[2.07885811e-02 2.54282172e-02 2.44954890e-02 3.41155530e-01
 4.28428171e-05 2.26919684e-03 1.83204545e-02 1.77403939e-02
 1.91353873e-01 6.94220212e-02 6.60600929e-05 5.39071335e-05
 1.73136736e-04 1.18691447e-04 3.66941313e-05 2.23297327e-03
 5.27390203e-02 6.87858332e-05 3.69438501e-05 5.37565351e-02
 5.38009726e-02 2.41347330e-04 5.34480747e-02 1.77118216e-02
 5.44465465e-02 3.26240049e-06 1.96049691e-06 4.07831198e-06
 4.78408198e-06 4.34286387e-06 1.23679434e-06 6.60215824e-07
 1.40252949e-06 1.18723454e-06 4.17654946e-06 6.04481018e-06
 3.48806193e-06 5.69936753e-07 1.61475602e-06 1.74720521e-06
 7.36870352e-06 3.96562747e-06]"
