Date,open,high,low,close,volume,lag_1,lag_2,lag_3,lag_4,lag_5,lag_10,lag_21,lag_42,lag_63,return_1d,return_2d,return_3d,return_4d,return_5d,return_10d,return_21d,return_42d,return_63d,rsi,bb_high,bb_low,atr,macd,sma_10,sma_20,sma_50,ema_10,ema_20,ema_50,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,target_close,target_return_1d,target_class
2012-04-03,22.4035701751709,22.578929901123047,22.232500076293945,19.052209854125977,834559.6,18.728572845458984,18.15094566345215,18.463071823120117,18.697999954223633,18.60294532775879,18.345003128051758,16.14103126525879,13.778430938720703,12.449688911437988,0.017280388171459826,0.04965384214049906,0.03190899307817885,0.018943731991096335,0.024150182589463887,0.0385503736978281,0.18035889659250426,0.38275613085846283,0.5303362188128258,75.37670691348293,19.21809682886231,18.01902322729003,3.4072165240177337,0.7891651612517343,17.264987214406332,17.861900520324706,16.089573802948,17.295925091443646,17.295925091443646,16.17792435931907,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.90053367614746,-0.007961080585393021,0
2012-04-04,22.298213958740234,22.352142333984375,22.03571319580078,18.90053367614746,572980.8,19.052209854125977,18.728572845458984,18.15094566345215,18.463071823120117,18.697999954223633,18.24025535583496,16.053241729736328,13.916481018066406,12.516594886779785,-0.007961080585393021,0.009181737023286951,0.04129746331645112,0.023693882427491708,0.010831838828734064,0.03619896253816868,0.17736554362954204,0.35814029793959734,0.510037981345109,71.8668526061158,19.300502614308176,18.017630930613702,3.3995533780063525,0.7773497025731828,17.377274545033774,18.003614521026613,16.21303232192993,17.399448225940667,17.399448225940667,16.28469335213587,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.184202194213867,0.015008492507510462,0
2012-04-05,22.39214324951172,22.66642951965332,22.264286041259766,19.184202194213867,641298.0,18.90053367614746,19.052209854125977,18.728572845458984,18.15094566345215,18.463071823120117,18.144590377807617,16.066253662109375,14.046356201171875,12.655556678771973,0.015008492507510462,0.006927928103799719,0.024328033562117213,0.05692576849272557,0.03905798439188901,0.05729596506503576,0.19406817529950104,0.3657778515266006,0.5158718562252451,74.27907304165402,19.523096882565806,18.083488810793572,3.425720696970603,0.7818627184106894,17.495636812845866,18.14240655899048,16.326270160675048,17.514593643248617,17.514593643248617,16.39839958123697,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,19.26140022277832,0.004024041645460663,0
2012-04-09,22.361785888671875,22.851428985595703,22.332143783569336,19.26140022277832,597536.8,19.184202194213867,18.90053367614746,19.052209854125977,18.728572845458984,18.15094566345215,18.04498291015625,16.408361434936523,14.193492889404297,12.787854194641113,0.004024041645460663,0.019092928951856658,0.01097984802046681,0.028449972227784004,0.06117888180130082,0.06741027789710086,0.17387712960583213,0.35705850370047454,0.5062261368955876,74.90957500281132,19.41043540962881,18.640332107461035,3.4429711322856913,0.7826466878735836,17.610497252146402,18.280245304107666,16.44228116989136,17.62729084192795,17.62729084192795,16.510674116199375,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.025569915771484,-0.01224367409841498,0
2012-04-10,22.854642868041992,23.0,22.35714340209961,19.025569915771484,889725.2,19.26140022277832,19.184202194213867,18.90053367614746,19.052209854125977,18.728572845458984,18.37588119506836,16.50462532043457,14.431140899658203,12.767569541931152,-0.01224367409841498,-0.008268901507419879,0.006615487253770924,-0.0013982597587608447,0.015857965941302954,0.035355513774081526,0.1527417040007386,0.3183690775427257,0.49014813299335125,69.31931296622116,19.33712077515694,18.832445570057907,3.464087464066833,0.7555291843254643,17.714116032918295,18.39595365524292,16.55197105407715,17.717502395079148,17.717502395079148,16.60929748088848,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.957748413085938,-0.0035647553784617925,0
2012-04-11,22.7214298248291,22.745357513427734,22.262142181396484,18.957748413085938,696614.8,19.025569915771484,19.26140022277832,19.184202194213867,18.90053367614746,19.052209854125977,18.60294532775879,16.711402893066406,14.930366516113281,12.813285827636719,-0.0035647553784617925,-0.01576478377378232,-0.011804180274759157,0.0030271492815401313,-0.004958030683227088,0.019072414559952566,0.13441992478988962,0.2697443423526267,0.47953840007192783,67.75336200558539,19.3384858929475,18.79329587585133,3.48235175932322,0.7202629954701081,17.80573584238688,18.483900260925292,16.65683500289917,17.797518267208616,17.797518267208616,16.701393595876613,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.853912353515625,-0.005477235867242469,0
2012-04-12,22.321428298950195,22.547500610351562,22.16071319580078,18.853912353515625,614336.8,18.957748413085938,19.025569915771484,19.26140022277832,19.184202194213867,18.90053367614746,18.697999954223633,17.198816299438477,14.937931060791016,12.79239559173584,-0.005477235867242469,-0.009022466239687388,-0.021155672201899622,-0.017216761862417274,-0.0024666669963225862,0.008338453293063264,0.09623313751721296,0.262150178414148,0.4738375012179621,65.32038438647156,19.353271496876882,18.75986174286921,3.4900232191762486,0.6761414467946913,17.886800257364907,18.534140586853027,16.75752124786377,17.865672724389714,17.865672724389714,16.78580609617618,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,18.322898864746094,-0.02816463123477475,0
2012-04-13,22.289642333984375,22.310714721679688,21.55392837524414,18.322898864746094,859644.8,18.853912353515625,18.957748413085938,19.025569915771484,19.26140022277832,19.184202194213867,18.463071823120117,17.849105834960938,15.215851783752441,12.75727653503418,-0.02816463123477475,-0.03348760277363039,-0.03693298303999304,-0.04872446173058409,-0.044896489348280055,-0.007592071336606776,0.02654435657259313,0.2041980380166013,0.43627041511779874,54.535228258787626,19.506335586747852,18.262276321211132,3.4876503012468065,0.591507915858891,17.94811579386393,18.563915157318114,16.847762794494628,17.89517118505787,17.89517118505787,16.846084243963237,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,17.563013076782227,-0.041471919567591664,0
2012-04-16,21.787857055664062,21.795713424682617,20.65178680419922,17.563013076782227,1050786.8,18.322898864746094,18.853912353515625,18.957748413085938,19.025569915771484,19.26140022277832,18.15094566345215,17.727407455444336,15.42353343963623,12.709444046020508,-0.041471919567591664,-0.06846850948114691,-0.07357072717248259,-0.07687322090555893,-0.08817568434031087,-0.03239129230901472,-0.009273458573978988,0.13871527205613243,0.3818868089892127,43.47336238484068,19.64385082451295,17.445406225047595,3.4865906054389293,0.45784109325556344,17.983385403951008,18.555680561065675,16.92345443725586,17.873741629685245,17.873741629685245,16.874199100152218,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.458221435546875,0.05097122884615324,0
2012-04-17,20.676429748535156,21.78571319580078,20.425357818603516,18.458221435546875,1025528.0,17.563013076782227,18.322898864746094,18.853912353515625,18.957748413085938,19.025569915771484,18.728572845458984,17.727705001831055,15.066598892211914,12.857484817504883,0.05097122884615324,0.007385434575592598,-0.020987204700512296,-0.026349488697415935,-0.029820314594323882,-0.014435238186216615,0.04120761450172861,0.22510870353681,0.43560126241929087,55.04277350225764,19.419954777022017,17.442362880448687,3.5391698564089027,0.41931144498340345,18.060625076293945,18.568697929382324,17.014289245605468,17.911450004256963,17.911450004256963,16.93631762310887,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18.41705894470215,-0.002230035596249569,0
