,strategy,test_len,model,metric,imp
20,target_class_lags_all_attributes,260,LogReg,roc_auc,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
21,target_class_lags_all_attributes,260,RandomForest,roc_auc,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
22,target_class_lags_all_attributes,260,SVC,roc_auc,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
23,target_class_lags_all_attributes,260,KNN,roc_auc,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
24,target_class_lags_all_attributes,260,GNB,roc_auc,"[ 6.34530712e-05  6.37092653e-05  6.23156989e-05  6.23684345e-05
 -5.16009399e-07  6.35267375e-05  6.28454651e-05  6.44345485e-05
  6.50265328e-05  6.51924867e-05  6.42689675e-05  6.44476585e-05
  6.00650369e-05  6.01213309e-05  3.52035285e-05  6.49696913e-05
  6.23109961e-05  1.37708188e-06 -8.12999217e-08  6.46762247e-05
  6.48868290e-05  6.31993773e-05  6.40627647e-05  6.40627647e-05
  6.34501582e-05  2.18853661e-07  2.95262278e-07  1.02703877e-07
 -1.83258571e-07  2.53531064e-07 -1.22179839e-07  3.56648885e-07
 -1.78470920e-07 -1.93224765e-07  4.23311735e-07 -1.79398552e-07
  3.54510346e-07 -1.72074146e-08  2.08721865e-07  4.47980120e-08
 -1.63612800e-08  5.94423614e-09]"
0,target_class_all_returns,260,LogReg,accuracy,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
1,target_class_all_returns,260,RandomForest,accuracy,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
2,target_class_all_returns,260,SVC,accuracy,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
3,target_class_all_returns,260,KNN,accuracy,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
4,target_class_all_returns,260,GNB,accuracy,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
5,target_class_all_returns,260,LogReg,f1,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
6,target_class_all_returns,260,RandomForest,f1,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
7,target_class_all_returns,260,SVC,f1,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
8,target_class_all_returns,260,KNN,f1,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
9,target_class_all_returns,260,GNB,f1,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
10,target_class_all_returns,260,LogReg,precision,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
11,target_class_all_returns,260,RandomForest,precision,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
12,target_class_all_returns,260,SVC,precision,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
13,target_class_all_returns,260,KNN,precision,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
14,target_class_all_returns,260,GNB,precision,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
15,target_class_all_returns,260,LogReg,recall,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
16,target_class_all_returns,260,RandomForest,recall,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
17,target_class_all_returns,260,SVC,recall,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
18,target_class_all_returns,260,KNN,recall,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
19,target_class_all_returns,260,GNB,recall,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
20,target_class_all_returns,260,LogReg,roc_auc,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
21,target_class_all_returns,260,RandomForest,roc_auc,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
22,target_class_all_returns,260,SVC,roc_auc,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
23,target_class_all_returns,260,KNN,roc_auc,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
24,target_class_all_returns,260,GNB,roc_auc,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
0,target_class_all_returns,260,LogReg,accuracy,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
1,target_class_all_returns,260,RandomForest,accuracy,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
2,target_class_all_returns,260,SVC,accuracy,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
3,target_class_all_returns,260,KNN,accuracy,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
4,target_class_all_returns,260,GNB,accuracy,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
5,target_class_all_returns,260,LogReg,f1,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
6,target_class_all_returns,260,RandomForest,f1,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
7,target_class_all_returns,260,SVC,f1,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
8,target_class_all_returns,260,KNN,f1,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
9,target_class_all_returns,260,GNB,f1,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
10,target_class_all_returns,260,LogReg,precision,"[-0.32312808  0.25610789 -0.22280339 -0.44346372 -0.55726734 -0.26520309
 -0.0760119   0.51780128 -0.15385372]"
