,strategy,model,time
0,STRATEGY,LR,0.0
1,STRATEGY,Lasso,0.0
2,STRATEGY,Ridge,0.0
3,STRATEGY,RandomForest,2.4166666666666665
4,STRATEGY,XGB,1.15
5,STRATEGY,SVR,0.0
0,target_return_1d_all_attributes,LR,0.0
1,target_return_1d_all_attributes,Lasso,0.0
2,target_return_1d_all_attributes,Ridge,0.0
3,target_return_1d_all_attributes,RandomForest,4.45
4,target_return_1d_all_attributes,XGB,1.5833333333333333
5,target_return_1d_all_attributes,SVR,54.63333333333333
