Date,open,high,low,close,volume,lag_1,lag_2,lag_3,lag_4,lag_5,lag_10,lag_21,lag_42,lag_63,return_1d,return_2d,return_3d,return_4d,return_5d,return_10d,return_21d,return_42d,return_63d,rsi,bb_high,bb_low,atr,macd,sma_10,sma_20,sma_50,ema_10,ema_20,ema_50,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,target_close,target_return_1d,target_class
2012-04-03,9.911999702453613,10.119500160217285,9.875,9.982999801635742,100014.0,9.90250015258789,10.125499725341797,10.230500221252441,10.057999610900879,10.272000312805176,9.616499900817871,9.012999534606934,9.086000442504883,8.951499938964844,0.008129224721780348,-0.014073371939303914,-0.024192406457560267,-0.007456732170068037,-0.028134784109105082,0.03811156913615732,0.10762235849500801,0.09872323524602078,0.11523206945250575,60.298083977244445,10.286350291451528,9.833449513235971,0.25744732208543236,0.2420044647332702,9.413466644287109,9.61692500114441,9.382400016784668,9.582884232834552,9.582884232834552,9.467725400155546,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.69950008392334,-0.028398249358469352,0
2012-04-04,9.84749984741211,9.883999824523926,9.618000030517578,9.69950008392334,109138.0,9.982999801635742,9.90250015258789,10.125499725341797,10.230500221252441,10.057999610900879,9.58650016784668,9.054499626159668,9.383999824523926,8.875499725341797,-0.028398249358469352,-0.020499880387429115,-0.0420719621721265,-0.0519036338248664,-0.03564322338897252,0.011787400417063942,0.07123535086358368,0.033621085389930805,0.09283988328328308,52.07509144302178,10.355111167942031,9.621288825954455,0.26512963987348465,0.21050886318086626,9.435816637674968,9.64247498512268,9.38939001083374,9.590407836130602,9.590407836130602,9.476814603440557,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.719499588012695,0.002061910811517409,1
2012-04-05,9.677499771118164,9.80150032043457,9.677499771118164,9.719499588012695,64350.0,9.69950008392334,9.982999801635742,9.90250015258789,10.125499725341797,10.230500221252441,9.619999885559082,9.18850040435791,9.156999588012695,8.880499839782715,0.002061910811517409,-0.026394893204332415,-0.0184802385009174,-0.04009679999427351,-0.04994874367708957,0.010343004536099487,0.05778953695240019,0.061428418183654854,0.09447663570370701,52.56652253295958,10.20792649657414,9.564073244026444,0.255048990547979,0.18502926271040465,9.461649958292643,9.659349966049195,9.395979995727538,9.598736336252028,9.598736336252028,9.486331661659072,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9.593500137329102,-0.012963573848903898,0
2012-04-09,9.60099983215332,9.710000038146973,9.524999618530273,9.593500137329102,62718.0,9.719499588012695,9.69950008392334,9.982999801635742,9.90250015258789,10.125499725341797,9.751999855041504,9.381999969482422,9.209500312805176,9.130499839782715,-0.012963573848903898,-0.010928392770461426,-0.039016294905948046,-0.031204242413269356,-0.052540576015346896,-0.016253047586999525,0.022543185731682236,0.04169605423542899,0.05070919507922644,49.147243020919774,10.064046280533635,9.495153624861874,0.2507240604718678,0.1529067789515448,9.482883294423422,9.678224992752074,9.394529991149902,9.598398516966677,9.598398516966677,9.490534346979466,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.348999977111816,-0.025486022485778137,0
2012-04-10,9.637499809265137,9.675999641418457,9.328499794006348,9.348999977111816,89100.0,9.593500137329102,9.719499588012695,9.69950008392334,9.982999801635742,9.90250015258789,10.143500328063965,9.215999603271484,9.27400016784668,8.928000450134277,-0.025486022485778137,-0.038119206400072825,-0.03613589399235817,-0.06350794722244146,-0.05589499287525124,-0.07832605365566059,0.014431464796625937,0.00808710458353934,0.0471549625617691,43.266021977993525,10.078950190389058,9.25884964481602,0.25763661668188503,0.10649277714078664,9.496966616312664,9.687199974060059,9.386139984130859,9.582308288588944,9.582308288588944,9.484983979533675,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.398500442504883,0.005294733716360467,0
2012-04-11,9.481499671936035,9.59850025177002,9.339500427246094,9.398500442504883,86756.0,9.348999977111816,9.593500137329102,9.719499588012695,9.69950008392334,9.982999801635742,10.272000312805176,9.169500350952148,9.24899959564209,8.967000007629395,0.005294733716360467,-0.02032623047196913,-0.03302630373107984,-0.031032490212290043,-0.05854947117549647,-0.08503697855337677,0.024974107943510182,0.016164001881158407,0.04812093615572155,44.708604644113755,9.857032203535413,9.246967888017322,0.2577339886706022,0.072863692880059,9.50391664505005,9.695650005340577,9.381959991455078,9.570449717873844,9.570449717873844,9.481592468277643,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.534500122070312,0.014470359436316915,1
2012-04-12,9.402999877929688,9.61299991607666,9.280500411987305,9.534500122070312,80558.0,9.398500442504883,9.348999977111816,9.593500137329102,9.719499588012695,9.69950008392334,10.057999610900879,9.229499816894531,9.277000427246094,8.944999694824219,0.014470359436316915,0.01984170985267264,-0.006149998896566977,-0.019033846780604602,-0.017011182063548902,-0.05204807209011986,0.03304624424147895,0.02775678376255697,0.06590278897238999,48.57730914284782,9.786448381391537,9.251551725419986,0.26307438262908456,0.056534741554164825,9.522249984741212,9.71672501564026,9.378209991455078,9.568130389112326,9.568130389112326,9.483667278230296,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9.42300033569336,-0.011694350511240237,0
2012-04-13,9.494999885559082,9.496999740600586,9.312999725341797,9.42300033569336,68636.0,9.534500122070312,9.398500442504883,9.348999977111816,9.593500137329102,9.719499588012695,10.230500221252441,9.11299991607666,9.579500198364258,8.796500205993652,-0.011694350511240237,0.0026067874698048055,0.007915323431672894,-0.01777242916506705,-0.03050560881601516,-0.07893063565764002,0.03401738422819611,-0.0163369548964174,0.07122152163116313,45.75094011961746,9.640463653398278,9.27893675248551,0.26010481220761533,0.0342025632083196,9.536283334096273,9.726800012588502,9.387210006713866,9.55876715985949,9.55876715985949,9.481288182444533,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9.274999618530273,-0.015706326211458843,0
2012-04-16,9.450499534606934,9.47350025177002,9.182499885559082,9.274999618530273,80886.0,9.42300033569336,9.534500122070312,9.398500442504883,9.348999977111816,9.593500137329102,10.125499725341797,9.221500396728516,9.5649995803833,8.920999526977539,-0.015706326211458843,-0.027217001438738397,-0.013140481796018677,-0.007915323431672894,-0.033199615806489224,-0.083995864883875,0.005801574526932418,-0.030318868225335138,0.039681662405901985,42.23798150066119,9.567505547774447,9.22449465058981,0.2623116374935669,0.004509744466133725,9.546616649627685,9.727925014495849,9.390989990234376,9.540459576547928,9.540459576547928,9.473198434840052,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.419500350952148,0.015579594432886035,1
2012-04-17,9.36050033569336,9.501999855041504,9.343500137329102,9.419500350952148,56584.0,9.274999618530273,9.42300033569336,9.534500122070312,9.398500442504883,9.348999977111816,9.90250015258789,9.2524995803833,9.22350025177002,9.083000183105469,0.015579594432886035,-0.00037142997097783237,-0.012061436849947094,0.0022343892598326587,0.007540953472342515,-0.04877554094351788,0.01804925999920215,0.021250077934839906,0.03704724882342014,46.55304223897636,9.575307530777595,9.244892817122794,0.25978939456625716,-0.007278129106953912,9.560166676839193,9.735100030899048,9.39170000076294,9.532655755541748,9.532655755541748,9.471092627628762,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.553500175476074,0.014225789004868039,1
