,strategy,test_len,model,metric,imp
20,target_class_lags_all_attributes,260,LogReg,roc_auc,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
21,target_class_lags_all_attributes,260,RandomForest,roc_auc,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
22,target_class_lags_all_attributes,260,SVC,roc_auc,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
23,target_class_lags_all_attributes,260,KNN,roc_auc,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
24,target_class_lags_all_attributes,260,GNB,roc_auc,"[ 4.63154045e-03  1.68959129e-02 -1.13092178e-04  2.16802361e-02
  7.39927642e-06  1.74661964e-02  1.06268379e-02  1.67684744e-03
 -2.14266654e-02 -3.27739198e-02 -1.64767541e-02 -1.16682505e-02
 -4.43581156e-03  2.33436723e-02 -1.45355643e-01  2.71771831e-02
 -1.51678021e-02 -1.23955649e-02  8.44181566e-04 -1.15815937e-03
  1.34140066e-04 -2.45683711e-03 -1.75889317e-03 -1.75889317e-03
  1.34645143e-03 -2.56575602e-03  9.77612009e-05 -1.50092888e-03
  1.24054692e-03 -5.02665524e-04 -1.14135035e-03 -1.18218695e-03
  1.83361738e-03 -1.10243301e-04 -1.59671722e-03 -6.47572127e-04
  7.88894588e-04 -5.49881776e-04 -1.47099553e-03  7.09691468e-04
 -3.01980069e-04  4.37681573e-04]"
0,target_class_all_returns,260,LogReg,accuracy,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
1,target_class_all_returns,260,RandomForest,accuracy,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
2,target_class_all_returns,260,SVC,accuracy,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
3,target_class_all_returns,260,KNN,accuracy,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
4,target_class_all_returns,260,GNB,accuracy,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
5,target_class_all_returns,260,LogReg,f1,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
6,target_class_all_returns,260,RandomForest,f1,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
7,target_class_all_returns,260,SVC,f1,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
8,target_class_all_returns,260,KNN,f1,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
9,target_class_all_returns,260,GNB,f1,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
10,target_class_all_returns,260,LogReg,precision,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
11,target_class_all_returns,260,RandomForest,precision,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
12,target_class_all_returns,260,SVC,precision,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
13,target_class_all_returns,260,KNN,precision,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
14,target_class_all_returns,260,GNB,precision,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
15,target_class_all_returns,260,LogReg,recall,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
16,target_class_all_returns,260,RandomForest,recall,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
17,target_class_all_returns,260,SVC,recall,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
18,target_class_all_returns,260,KNN,recall,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
19,target_class_all_returns,260,GNB,recall,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
20,target_class_all_returns,260,LogReg,roc_auc,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
21,target_class_all_returns,260,RandomForest,roc_auc,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
22,target_class_all_returns,260,SVC,roc_auc,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
23,target_class_all_returns,260,KNN,roc_auc,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
24,target_class_all_returns,260,GNB,roc_auc,"[-0.44463188 -3.1489474  -5.14856204  3.4382032   7.1214863  -5.26772423
 -3.42188431 -6.18142336 -9.06546162]"
0, target_class_returns_all_attributes,260,LogReg,accuracy,"[ 4.06902412e-03  3.71043307e-02  1.87562986e-03  5.26571904e-02
 -7.61303803e-06  2.67177421e-05  1.75586908e-04  2.92682505e-04
  5.48428015e-04  6.82491070e-04  3.75684606e-04  1.54906757e-04
 -8.94432568e-04 -1.90233066e-03 -1.26528012e-01  2.52172375e-02
 -6.33276512e-02 -8.22225243e-03 -1.65676733e-02 -4.07145839e-02
 -5.51826422e-02  3.69723500e-02 -1.65093112e-02 -1.65093112e-02
  4.65195658e-02 -5.05188064e-03  7.08378889e-04 -2.42783198e-03
  2.98788782e-03 -5.35508733e-04 -4.65526549e-03 -1.41434058e-03
  5.11783927e-03 -2.21759746e-04 -2.51935170e-03 -9.32627580e-05
  2.50486391e-03 -1.30986148e-03 -4.70210256e-03  2.22951336e-03
  6.32648643e-04  1.12124484e-04]"
