Date,open,high,low,close,volume,lag_1,lag_2,lag_3,lag_4,lag_5,lag_10,lag_21,lag_42,lag_63,return_1d,return_2d,return_3d,return_4d,return_5d,return_10d,return_21d,return_42d,return_63d,rsi,bb_high,bb_low,atr,macd,sma_10,sma_20,sma_50,ema_10,ema_20,ema_50,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,target_close,target_return_1d,target_class
2012-04-03,3.859999895095825,3.865000009536743,3.75,3.458390712738037,43047.6,3.5157251358032227,3.5317788124084473,3.4927914142608643,3.4767391681671143,3.3987643718719482,3.3024423122406006,3.4079372882843018,3.552419424057007,3.219881534576416,-0.016307993614548155,-0.020779358948689097,-0.009849056941210743,-0.0052774897803881116,0.01754353475032122,0.04722214220651466,0.014804681009589649,-0.026468921626260355,0.07407389855819568,52.47317851985882,3.547702550508161,3.442467546842913,0.35776878634190695,0.006086623757874943,3.434922631581624,3.390163850784302,3.491828660964966,3.430125813039944,3.430125813039944,3.4345088438990112,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.359776496887207,-0.028514480879101245,0
2012-04-04,3.7125000953674316,3.759999990463257,3.640000104904175,3.359776496887207,49589.6,3.458390712738037,3.5157251358032227,3.5317788124084473,3.4927914142608643,3.4767391681671143,3.3162028789520264,3.3758304119110107,3.6281003952026367,3.2565765380859375,-0.028514480879101245,-0.04435746052155087,-0.04870132719436804,-0.03808269707448464,-0.03364148577805681,0.013139611635869075,-0.004755545470282008,-0.07395713158054529,0.0316897077634557,43.64611758567252,3.593992249283405,3.3493927795557066,0.3537573928692864,-0.0006319037254773896,3.425978501637777,3.3883291482925415,3.490498504638672,3.425587147481703,3.425587147481703,3.4315781636240383,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.355189561843872,-0.0013652500538606782,0
2012-04-05,3.6675000190734863,3.7125000953674316,3.6449999809265137,3.355189561843872,36942.4,3.359776496887207,3.458390712738037,3.5157251358032227,3.5317788124084473,3.4927914142608643,3.3116157054901123,3.396470546722412,3.6005795001983643,3.373537302017212,-0.0013652500538606782,-0.029840801536405892,-0.04566215155004538,-0.05000008775865339,-0.03939595472411317,0.013157884316565394,-0.012154082984283776,-0.06815290103745053,-0.0054387245584535115,43.281407414815845,3.593938500268502,3.2944057876038126,0.3536835504129249,-0.006254415475430264,3.416193453470866,3.38569176197052,3.489489407539368,3.421045367763133,3.421045367763133,3.4285825321816787,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.3116157054901123,-0.012987002835635142,0
2012-04-09,3.5999999046325684,3.622499942779541,3.5399999618530273,3.3116157054901123,36550.4,3.355189561843872,3.359776496887207,3.458390712738037,3.5157251358032227,3.5317788124084473,3.336843967437744,3.4079372882843018,3.6097538471221924,3.3345494270324707,-0.012987002835635142,-0.014334522383174897,-0.04244026179787008,-0.05805613989401881,-0.06233773931278497,-0.007560515922775957,-0.028263895326161248,-0.08259237451045731,-0.006877607318230061,39.872871601645855,3.5504442108211722,3.2498348342838086,0.34751403830740657,-0.014064219028822489,3.4058733145395914,3.381334328651428,3.4882509756088256,3.4139853895519705,3.4139853895519705,3.423995597801617,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.2474019527435303,-0.019390460263890574,0
2012-04-10,3.5950000286102295,3.6449999809265137,3.5225000381469727,3.2474019527435303,47036.0,3.3116157054901123,3.355189561843872,3.359776496887207,3.458390712738037,3.5157251358032227,3.3758304119110107,3.3987643718719482,3.740475654602051,3.3345494270324707,-0.019390460263890574,-0.03212563913709432,-0.0334470296603927,-0.061007785851780016,-0.07632086488421963,-0.03804351626027891,-0.04453454331258966,-0.13182112313760763,-0.02613470761070591,35.44306745275784,3.48448543415069,3.2084643377304136,0.3465047695309062,-0.02514519959284467,3.395858971277873,3.3764035940170287,3.484810929298401,3.4032380710482,3.4032380710482,3.417070356818947,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.288682222366333,0.012711783211168948,0
2012-04-11,3.5875000953674316,3.6624999046325684,3.575000047683716,3.288682222366333,37296.0,3.2474019527435303,3.3116157054901123,3.355189561843872,3.359776496887207,3.458390712738037,3.3987643718719482,3.3460166454315186,3.7381818294525146,3.3207895755767822,0.012711783211168948,-0.006925164379960935,-0.019822230086156245,-0.021160417839324097,-0.049071520388552226,-0.03238887356141873,-0.017135127867181188,-0.12024551709728215,-0.009668590098748542,40.05377925574933,3.3967390527734853,3.228327322958936,0.35140428255648704,-0.030247311579443714,3.3882908741633098,3.3712435722351075,3.48270103931427,3.395847371133241,3.395847371133241,3.412035528016884,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.3666577339172363,0.02371026030444412,0
2012-04-12,3.5899999141693115,3.690000057220459,3.575000047683716,3.3666577339172363,38486.8,3.288682222366333,3.2474019527435303,3.3116157054901123,3.355189561843872,3.359776496887207,3.4767391681671143,3.3918826580047607,3.6464476585388184,3.2542827129364014,0.02371026030444412,0.03672344320448362,0.016620898474383194,0.0034180399831305053,0.0020481234499987178,-0.031662264243973004,-0.007436850454715538,-0.07672945036422041,0.034531425476379995,47.65832226503032,3.401322709135346,3.2264961614090875,0.35496953629203265,-0.027679725330359783,3.3846979697545367,3.374798321723938,3.4822882604599,3.393964168732208,3.393964168732208,3.410256006679643,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.2474019527435303,-0.03542260324602331,0
2012-04-13,3.637500047683716,3.6575000286102295,3.5374999046325684,3.2474019527435303,31132.4,3.3666577339172363,3.288682222366333,3.2474019527435303,3.3116157054901123,3.355189561843872,3.4927914142608643,3.295562744140625,3.7037808895111084,3.233642578125,-0.03542260324602331,-0.012552222085203457,0.0,-0.019390460263890574,-0.03212563913709432,-0.07025597363627933,-0.014613829302058567,-0.12321974500705934,0.004255069719705462,39.42164660875997,3.381556905270947,3.2031469216333504,0.3503890190349584,-0.03486592690598478,3.3763654470443725,3.3699822187423707,3.47875648021698,3.384508541894229,3.384508541894229,3.4038695731919524,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.2084147930145264,-0.012005646451024088,0
2012-04-16,3.565000057220459,3.575000047683716,3.440000057220459,3.2084147930145264,46346.8,3.2474019527435303,3.3666577339172363,3.288682222366333,3.2474019527435303,3.3116157054901123,3.5317788124084473,3.343724012374878,3.724421262741089,3.148787260055542,-0.012005646451024088,-0.047002978446100685,-0.02440717099569778,-0.012005646451024088,-0.031163311704463736,-0.09155840061609277,-0.04046662310034621,-0.13854675218635004,0.018936666098532395,37.160534939100756,3.3793822433298133,3.164041218584249,0.3487610958853318,-0.04320889613129841,3.3657395044962564,3.3629874348640443,3.4718763875961303,3.373147654869732,3.373147654869732,3.396204679851661,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.2152953147888184,0.0021445237658399563,0
2012-04-17,3.507499933242798,3.549999952316284,3.492500066757202,3.2152953147888184,46069.6,3.2084147930145264,3.2474019527435303,3.3666577339172363,3.288682222366333,3.2474019527435303,3.5157251358032227,3.3483104705810547,3.7083680629730225,3.1006271839141846,0.0021445237658399563,-0.009886869079322569,-0.04495925368460363,-0.022314988988115125,-0.009886869079322569,-0.08545315956441124,-0.039726051977836296,-0.13296219248229224,0.036982237487152014,37.838169434331824,3.3814862845309372,3.1490945222012403,0.34824852898650505,-0.04870412787704126,3.3593181053797405,3.355878031253815,3.463620285987854,3.362963632929028,3.362963632929028,3.389110194947236,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.1808950901031494,-0.010698931612111773,0
